Date,Open,High,Low,Close
2022-02-18,40737,40963,39540,40067
2022-02-21,38855,39468,36835,37601
2022-02-22,37580,38295,36374,37913
2022-02-23,37936,39242,37166,37651
2022-02-24,37670,39341,34373,37859
2022-02-25,37882,39700,37882,39156
2022-02-28,37821,44115,37404,43107
2022-03-01,42935,44964,42891,44156
2022-03-02,44160,45241,43354,44082
2022-03-03,44076,44209,41859,42510
2022-03-04,42508,42613,39213,39502
2022-03-07,38986,39512,37162,38183
2022-03-08,38213,39362,37892,38574
2022-03-09,38558,42566,38537,41899
2022-03-10,41897,42125,38647,39457
2022-03-11,39457,40203,38253,38401
2022-03-14,37750,39912,37573,39347
2022-03-15,39331,39852,38207,39488
2022-03-16,39482,41660,38950,40890
2022-03-17,40895,41483,40563,41010
2022-03-18,41009,42323,40198,41755
2022-03-21,41418,41530,40507,41166
2022-03-22,41137,43258,40910,42544
2022-03-23,42548,42766,41783,42510
2022-03-24,42508,44222,42421,43973
2022-03-25,43970,45094,43643,44543
2022-03-28,46564,48181,46384,47664
2022-03-29,47621,48102,46904,47308
2022-03-30,47297,47705,46646,47001
2022-03-31,47001,47608,45537,45775
2022-04-01,45767,46707,44242,46356
2022-04-04,46849,47400,45167,46481
2022-04-05,46458,47210,45486,45960
2022-04-06,45958,46060,43193,43863
2022-04-07,43846,43892,42759,43499
2022-04-08,43524,43979,42539,42741
2022-04-11,42679,42724,39369,39452
2022-04-12,39392,40640,39251,39712
2022-04-13,39700,41554,39573,41220
2022-04-14,41232,41497,39609,39973
2022-04-18,40216,41100,38561,40805
2022-04-19,40813,41717,40606,41293
2022-04-20,41319,42167,40912,41504
2022-04-21,41504,42985,40571,40737
2022-04-22,40730,40811,39225,39516
2022-04-25,39642,40365,38245,40235
2022-04-26,40235,40773,37824,38335
2022-04-27,38333,39432,37746,39234
2022-04-28,39226,40350,38898,39836
2022-04-29,39845,39920,38178,38322
2022-05-02,38341,39114,38071,38638
2022-05-03,38643,38883,37530,37791
2022-05-04,37791,39974,37645,39750
2022-05-05,39746,39795,35600,36454
2022-05-06,36451,36646,35343,36000
2022-05-09,34451,34466,30331,30826
2022-05-10,30803,32617,29791,30282
2022-05-11,30287,32081,27713,28870
2022-05-12,28913,30064,25565,28407
2022-05-13,28371,30940,28297,30041
2022-05-16,31038,31342,29174,30101
2022-05-17,30135,30718,29453,30523
2022-05-18,30510,30652,28726,29118
2022-05-19,29152,30504,28645,30244
2022-05-20,30246,30693,28719.1,29277.4
2022-05-23,29984.1,30626.9,29031.7,29290
2022-05-24,29308.2,29601.4,28656.9,29545
2022-05-25,29548.5,30181.7,29334,29790.9
2022-05-26,29789.2,29846.2,28019.2,29548
2022-05-27,29546.4,29639.4,28254.8,28819.6
2022-05-30,29213.6,32115.9,29151.8,31777.8
2022-05-31,31780.5,32349.1,31219.7,31672.4
2022-06-01,31682.3,31947.7,29352,29550.1
2022-06-02,29564.1,30377.7,29493.4,30330
